#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.58     0.04343        2.15      0.0263     0.00263
      0.5563      -1.695     0.04343         3.6     0.02017    0.002017
      0.6532      -1.807     0.04343         4.5     0.01558    0.001558
      0.7634      -1.885     0.04343         5.8     0.01303    0.001303
      0.8976      -1.789     0.04343         7.9     0.01625    0.001625
       1.204      -1.188     0.04343          16     0.06492    0.006492
        1.38      -1.281     0.06555          24     0.05236    0.007903
           2      0.1348      0.1131         100       1.364      0.3552
       2.204       0.415      0.1443         160         2.6      0.8639
       2.398      0.3921      0.1916         250       2.466       1.088
