#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.092     0.04343        2.15    0.008091   0.0008091
      0.5563      -1.802     0.04343         3.6     0.01578    0.001578
      0.6532       -1.76     0.04343         4.5     0.01737    0.001737
      0.7634      -1.747     0.04343         5.8     0.01792    0.001792
      0.8976      -1.867     0.04343         7.9     0.01357    0.001357
       1.204      -1.523     0.08318          16     0.03002     0.00575
        1.38     -0.6929     0.04343          24      0.2028     0.02028
           2      0.2859      0.0743         100       1.932      0.3305
       2.204      0.5751     0.09643         160       3.759      0.8348
       2.398      0.8147      0.0877         250       6.527       1.318
       2.544      0.7133      0.1569         350       5.168       1.868
       2.929      0.3876      0.1935         850       2.441       1.088
