#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.884     0.04343        2.15     0.01306    0.001306
      0.5563        -1.5     0.04343         3.6      0.0316     0.00316
      0.6532      -1.373     0.04343         4.5     0.04237    0.004237
      0.7634      -1.364     0.04343         5.8     0.04323    0.004323
      0.8976      -1.447     0.04343         7.9     0.03571    0.003571
       1.204     -0.9427     0.04343          16      0.1141     0.01141
        1.38     -0.4885     0.04343          24      0.3247     0.03247
           2      0.6368     0.04343         100       4.333      0.4333
       2.204       1.007     0.04343         160       10.16       1.016
       2.398       1.334     0.04343         250       21.56       2.156
       2.544       1.304     0.06847         350       20.15       3.177
       2.699       1.135     0.08327         500       13.64       2.616
       5.301      -1.339     0.04343       2e+05      0.0458     0.00458
