#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.834      -2.834         5.8    0.000689    0.000388
       1.204      -1.811      -1.811          16   1.903e-10     0.00772
        1.38      -1.419      -1.419          24   0.0006901     0.01869
           2    -0.07959    -0.07959         100   1.792e-05      0.4163
       2.204      0.2956      0.2956         160      0.3415      0.8169
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
