#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634       5.301       5.301         5.8         -99       1e+05
      0.8976      -2.005      -2.005         7.9    0.004419    0.002728
       1.204       7.301       7.301          16         -99       1e+07
           2      0.1906      0.1906         100      0.3414      0.6048
       2.204      0.6001      0.6001         160       1.291       1.345
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.126      -2.126       2e+05     0.00181    0.002839
