#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.172     0.04343        2.15     0.00673    0.000673
      0.5563      -1.942     0.04343         3.6     0.01143    0.001143
      0.6532      -2.012     0.04343         4.5     0.00973    0.000973
      0.7634      -2.146     0.04343         5.8    0.007138   0.0007138
      0.8976      -2.181     0.04343         7.9    0.006588   0.0006588
       1.204      -1.364     0.05995          16     0.04321    0.005965
        1.38      -1.255     0.04343          24     0.05558    0.005558
           2      0.2635     0.07717         100       1.834       0.326
       2.204      0.3566      0.2171         160       2.273       1.137
       5.301      -2.208      0.1825       2e+05    0.006196    0.002603
