#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.804     0.04343        2.15      0.0157     0.00157
      0.5563      -1.666     0.04343         3.6     0.02159    0.002159
      0.6532      -1.706     0.04343         4.5     0.01969    0.001969
      0.7634       -1.84     0.04343         5.8     0.01444    0.001444
      0.8976      -1.736     0.04343         7.9     0.01835    0.001835
       1.204     -0.7231     0.04343          16      0.1892     0.01892
        1.38     -0.7678     0.04343          24      0.1707     0.01707
           2      0.4929     0.04977         100       3.111      0.3565
       2.204      0.5996     0.06652         160       3.978      0.6092
       2.398      0.7654      0.1125         250       5.827        1.51
       5.301      -1.432     0.09742       2e+05       0.037      0.0083
