#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.8976      -2.762      -2.762         7.9    0.000692    0.000519
       1.204      -1.611      -1.611          16    0.005987    0.009264
           2      -0.127      -0.127         100   1.792e-05      0.3732
       2.204      0.3473      0.3473         160   1.745e-05       1.112
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.223      -2.223       2e+05   0.0008538    0.002566
