#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324        -2.2     0.04343        2.15     0.00631    0.000631
      0.5563       -1.82     0.04343         3.6     0.01515    0.001515
      0.6532       -1.74     0.04343         4.5     0.01821    0.001821
      0.7634      -1.824     0.04343         5.8       0.015      0.0015
      0.8976       -1.83     0.04343         7.9     0.01478    0.001478
       1.204      -1.287     0.05473          16     0.05165    0.006509
        1.38     -0.8684     0.04343          24      0.1354     0.01354
           2      0.3883     0.06139         100       2.445      0.3456
       2.204      0.8704     0.05019         160        7.42      0.8575
       2.398      0.7711      0.1273         250       5.904       1.731
       2.544      0.6912      0.1355         350       4.912       1.533
       2.699      0.6091      0.1875         500       4.065       1.755
       5.301      -1.762     0.06527       2e+05      0.0173      0.0026
