#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
      0.8976      -2.533      -2.533         7.9    0.000733    0.001099
       1.204       7.301       7.301          16         -99       1e+07
           2     -0.1208     -0.1208         100     0.01605      0.3705
       2.204      0.3897      0.3897         160      0.8125      0.8201
       2.398      0.9375      0.9375         250       1.929       3.365
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850   5.194e-42       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
