#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563      -3.851      -3.851         3.6     5.1e-05     4.5e-05
      0.6532       -1000       -1000         4.5   -0.000201     8.6e-05
      0.7634      -4.456      -4.456         5.8   -0.001039    0.000537
      0.8976       -3.24       -3.24         7.9   -0.000639    0.000607
       1.204      -1.102      -1.102          16       0.019     0.03007
           2    -0.08696    -0.08696         100   1.792e-05      0.4093
       2.204       10.38       10.38         160      -117.8    1.19e+10
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.152      -2.152       2e+05    0.001202    0.002923
