#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.416     0.04343        2.15    0.003837   0.0003837
      0.5563      -1.944     0.04343         3.6     0.01138    0.001138
      0.6532      -1.801     0.04343         4.5      0.0158     0.00158
      0.7634      -1.859     0.04343         5.8     0.01383    0.001383
      0.8976      -1.879     0.04343         7.9      0.0132     0.00132
       1.204      -1.496      0.1297          16      0.0319    0.009527
        1.38     -0.8925     0.04343          24      0.1281     0.01281
           2     -0.0461        0.18         100      0.8993      0.3727
       2.204      0.5775      0.1203         160        3.78       1.047
       2.398      0.7981      0.1449         250       6.282       2.095
       5.301      -1.573     0.04717       2e+05      0.0267      0.0029
