#      _xxWS        ftot       firac        fagn        fsfr
#
      -0.684      0.1375   0.0005095   3.235e-13       0.137
      -0.674      0.1091   0.0005631   3.235e-13      0.1086
      -0.664     0.08077   0.0006334   3.235e-13     0.08013
      -0.654     0.05241   0.0007129   3.235e-13      0.0517
      -0.644     0.02407   0.0008067   3.235e-13     0.02326
      -0.634   0.0009124   0.0009124   3.235e-13   2.167e-08
      -0.624   0.0009957   0.0009957   3.235e-13   2.208e-08
      -0.614    0.001085    0.001085   3.235e-13   2.249e-08
      -0.604     0.00113     0.00113   3.235e-13   2.291e-08
      -0.594    0.001198    0.001198   3.235e-13   2.333e-08
      -0.584    0.001255    0.001255   3.235e-13   2.376e-08
      -0.574     0.00132     0.00132   3.235e-13   2.421e-08
      -0.564     0.00136     0.00136   3.235e-13   2.466e-08
      -0.554     0.00145     0.00145   3.235e-13   2.511e-08
      -0.544    0.001536    0.001536   3.235e-13   2.558e-08
      -0.534     0.00161     0.00161   3.235e-13   2.606e-08
      -0.524    0.001679    0.001679   3.235e-13   2.654e-08
      -0.514    0.001733    0.001733   3.235e-13   2.704e-08
      -0.504    0.001777    0.001777   3.235e-13   2.754e-08
      -0.494    0.001821    0.001821   3.235e-13   2.805e-08
      -0.484    0.001867    0.001867   3.235e-13   2.857e-08
      -0.474    0.001933    0.001933   3.235e-13    2.91e-08
      -0.464    0.001981    0.001981   3.235e-13   2.964e-08
      -0.454     0.00204     0.00204   3.235e-13   3.019e-08
      -0.444     0.00212     0.00212   3.235e-13   3.076e-08
      -0.434    0.002229    0.002229   3.235e-13   3.133e-08
      -0.424    0.002303    0.002303   3.235e-13   3.191e-08
      -0.414    0.002384    0.002384   3.235e-13    3.25e-08
      -0.404    0.002452    0.002452   3.235e-13   3.311e-08
      -0.394    0.002514    0.002514   3.235e-13   3.372e-08
      -0.384    0.002563    0.002563   3.235e-13   3.435e-08
      -0.374    0.002613    0.002613   3.235e-13   3.499e-08
      -0.364    0.002667    0.002667   3.235e-13   3.564e-08
      -0.354    0.002718    0.002718   3.235e-13    3.63e-08
      -0.344    0.002772    0.002772   3.235e-13   3.698e-08
      -0.334    0.002829    0.002829   3.235e-13   3.766e-08
      -0.324    0.002883    0.002883   3.235e-13   3.836e-08
      -0.314     0.00292     0.00292   3.235e-13   3.908e-08
      -0.304    0.002965    0.002965   3.235e-13    3.98e-08
      -0.294    0.003015    0.003015   3.235e-13   4.054e-08
      -0.284    0.003062    0.003062   3.235e-13    4.13e-08
      -0.274    0.003109    0.003109   3.235e-13   4.207e-08
