#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.8976      -2.914      -2.914         7.9     0.00027    0.000474
       1.204      -1.761      -1.761          16    0.003855     0.00675
        1.38       -1.82       -1.82          24    0.006878    0.004127
           2     0.07834     0.07834         100      0.5339      0.3319
       2.204      0.1975      0.1975         160   1.745e-05      0.7879
       2.398      0.4713      0.4713         250   3.209e-07        1.48
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
