#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.956     0.04343        2.15      0.1107     0.01107
      0.5563      -1.216     0.04343         3.6     0.06079    0.006079
      0.6532      -1.192     0.04343         4.5     0.06426    0.006426
      0.7634      -1.324     0.04343         5.8     0.04745    0.004745
      0.8976     -0.8013     0.04343         7.9       0.158      0.0158
        1.38     -0.4743     0.04343          24      0.3355     0.03355
           2       1.044     0.04343         100       11.06       1.106
       2.204        1.18     0.04343         160       15.13       1.513
       2.398       1.007     0.06889         250       10.17       1.613
       5.301      -1.319     0.06786       2e+05       0.048      0.0075
