#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.8976      -2.195      -2.195         7.9    0.002403    0.001987
       1.204       7.301       7.301          16         -99       1e+07
           2      0.4078      0.4078         100       1.014      0.7719
       2.204      0.8377      0.8377         160       2.244       2.319
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.214      -2.214       2e+05   0.0006709    0.002717
