#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.964     0.04343        2.15     0.01086    0.001086
      0.5563      -1.731     0.04343         3.6     0.01856    0.001856
      0.6532       -1.66     0.04343         4.5     0.02186    0.002186
      0.7634       -1.61     0.04343         5.8     0.02456    0.002456
      0.8976      -1.703     0.04343         7.9     0.01981    0.001981
       1.204      -1.471      0.1036          16      0.0338    0.008063
        1.38       -0.83     0.04343          24      0.1479     0.01479
           2     0.05683      0.1767         100        1.14      0.4636
       2.544       1.163      0.1547         350       14.55       5.182
       5.301      -1.994      0.1098       2e+05     0.01015    0.002565
