#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563       -1000       -1000         3.6   -0.000248     5.6e-05
      0.6532      -3.352      -3.352         4.5    0.000119    0.000163
      0.7634      -3.197      -3.197         5.8   -0.000628    0.000632
      0.8976      -2.615      -2.615         7.9    0.000223    0.001101
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.674      -1.674          24   0.0005476     0.01033
           2       5.545       5.545         100   1.792e-05   1.753e+05
       2.204      0.4371      0.4371         160   1.745e-05       1.368
       2.398       0.851       0.851         250   3.209e-07       3.548
       2.544       1.067       1.067         350       2.534       4.572
       2.699      0.9685      0.9685         500   3.106e-07        4.65
       2.929        10.3        10.3         850         -99       1e+10
       3.064      0.1343      0.1343        1160    2.13e-10      0.6812
