#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.232     0.04343        2.15    0.005861   0.0005861
      0.5563       -1.89     0.04343         3.6     0.01288    0.001288
      0.6532      -1.885     0.04343         4.5     0.01302    0.001302
      0.7634      -1.999     0.04343         5.8     0.01002    0.001002
      0.8976      -1.855     0.04343         7.9     0.01397    0.001397
       1.204     -0.8948     0.04343          16      0.1274     0.01274
        1.38      -1.029     0.04343          24     0.09363    0.009363
           2      0.3822     0.07792         100       2.411      0.4325
       2.204      0.7252     0.08552         160       5.311       1.046
       2.398      0.8057      0.1764         250       6.393       2.597
       5.301      -1.878     0.08085       2e+05     0.01323    0.002463
