#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.856     0.04343        2.15     0.01393    0.001393
      0.5563      -1.709     0.04343         3.6     0.01956    0.001956
      0.6532      -1.788     0.04343         4.5     0.01629    0.001629
      0.7634      -1.887     0.04343         5.8     0.01298    0.001298
      0.8976      -1.869     0.04343         7.9     0.01351    0.001351
       1.204     -0.8586     0.04343          16      0.1385     0.01385
        1.38     -0.9122     0.04343          24      0.1224     0.01224
           2      0.3523     0.06685         100        2.25      0.3464
       2.204      0.5902      0.1004         160       3.893      0.9002
       2.398      0.5742      0.1397         250       3.751       1.207
       5.301      -1.881     0.08504       2e+05     0.01315    0.002575
