#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.284     0.04343        2.15       0.052      0.0052
      0.5563      -1.474     0.04343         3.6     0.03357    0.003357
      0.6532      -1.554     0.04343         4.5     0.02791    0.002791
      0.7634      -1.635     0.04343         5.8     0.02319    0.002319
      0.8976      -1.447     0.04343         7.9     0.03571    0.003571
        1.38      -0.908     0.04343          24      0.1236     0.01236
           2      0.4539     0.05569         100       2.844      0.3647
       2.204      0.5491      0.1685         160       3.541       1.374
       2.398      0.6661      0.2068         250       4.636       2.207
       5.301      -2.031      0.1197       2e+05    0.009318    0.002568
