#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.364     0.04343        2.15     0.04325    0.004325
      0.5563      -1.539     0.04343         3.6      0.0289     0.00289
      0.6532      -1.584     0.04343         4.5     0.02604    0.002604
      0.7634      -1.702     0.04343         5.8     0.01984    0.001984
      0.8976      -1.391     0.04343         7.9     0.04066    0.004066
       1.204      -1.001     0.04343          16     0.09974    0.009974
        1.38     -0.9045     0.04343          24      0.1246     0.01246
           2      0.4936     0.05795         100       3.116      0.4158
       2.204      0.5751     0.09472         160       3.759      0.8199
       5.301      -2.037      0.1194       2e+05    0.009173    0.002522
