#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.76     0.04343        2.15     0.01738    0.001738
      0.5563      -1.567     0.04343         3.6      0.0271     0.00271
      0.6532      -1.591     0.04343         4.5     0.02565    0.002565
      0.7634      -1.712     0.04343         5.8     0.01941    0.001941
      0.8976      -1.704     0.04343         7.9     0.01975    0.001975
       1.204     -0.8665     0.04343          16       0.136      0.0136
        1.38     -0.8955     0.04343          24      0.1272     0.01272
           2      0.4452     0.05988         100       2.787      0.3843
       2.204      0.7302     0.07504         160       5.373      0.9284
       2.398      0.9731     0.07447         250         9.4       1.612
       2.544      0.7738      0.1221         350        5.94        1.67
       2.699      0.7075      0.1183         500       5.099       1.389
       5.301      -1.978       0.103       2e+05     0.01052    0.002494
