#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.952     0.04343        2.15      0.1117     0.01117
      0.5563      -1.038     0.04343         3.6     0.09163    0.009163
      0.6532      -0.988     0.04343         4.5      0.1028     0.01028
      0.7634     -0.8254     0.04343         5.8      0.1495     0.01495
      0.8976     -0.5067     0.04343         7.9      0.3114     0.03114
        1.38      0.3493     0.04343          24       2.235      0.2235
           2       1.188     0.04343         100       15.43       1.543
       2.204       1.199     0.04343         160       15.82       1.582
       2.398       1.051     0.07744         250       11.26       2.007
       2.544      0.8637        0.18         350       7.307       3.028
       5.301      -1.188     0.06635       2e+05      0.0648      0.0099
