#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.484     0.04343        2.15    0.003281   0.0003281
      0.5563      -2.107     0.04343         3.6    0.007812   0.0007812
      0.6532      -1.968     0.04343         4.5     0.01076    0.001076
      0.7634      -1.889     0.04343         5.8     0.01291    0.001291
      0.8976      -2.023     0.04343         7.9    0.009474   0.0009474
        1.38     -0.8658     0.04343          24      0.1362     0.01362
       2.204      0.4385       0.171         160       2.745       1.081
       2.398       0.919      0.1429         250       8.299       2.731
       2.544       1.158     0.09534         350       14.37       3.155
       2.699      0.9422       0.215         500       8.753       4.332
       3.064      0.3736      0.0728        1160       2.364      0.3962
       5.301      -1.536     0.04343       2e+05      0.0291     0.00291
