#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.8976      -2.786      -2.786         7.9    0.000684    0.000477
       1.204      -1.772      -1.772          16   1.903e-10    0.008461
           2     -0.1507     -0.1507         100   1.792e-05      0.3534
       2.204      0.2811      0.2811         160      0.4054      0.7524
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301       -1000       -1000       2e+05      0.0187      -1e+10
