#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.848      -2.848         5.8     0.00042    0.000499
      0.8976      -2.923      -2.923         7.9   -0.000208    0.000701
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.546      -1.546          24     0.01064    0.008907
           2     0.07556     0.07556         100       0.301      0.4445
       2.204      0.3494      0.3494         160   1.745e-05       1.118
       2.398      0.5149      0.5149         250      0.5933        1.34
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.5161      0.5161         850       0.676       1.303
       3.064      0.1043      0.1043        1160    2.13e-10      0.6357
