#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.6532      -3.642      -3.642         4.5    0.000108       6e-05
      0.7634      -2.858      -2.858         5.8    0.000562    0.000412
      0.8976       -3.28       -3.28         7.9   -0.000405    0.000465
       1.204      -1.885      -1.885          16    0.000436    0.006295
        1.38      -1.888      -1.888          24   0.0003935     0.00628
           2     0.07492     0.07492         100      0.5227      0.3328
       2.204      0.1873      0.1873         160     0.08238      0.7284
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
