#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.976     0.04343        2.15     0.01057    0.001057
      0.5563      -1.896     0.04343         3.6     0.01272    0.001272
      0.6532      -1.861     0.04343         4.5     0.01377    0.001377
      0.7634      -1.802     0.04343         5.8     0.01578    0.001578
      0.8976      -1.915     0.04343         7.9     0.01217    0.001217
        1.38     -0.8389     0.04343          24      0.1449     0.01449
           2      0.3621     0.06185         100       2.302      0.3278
       2.204      0.6191     0.07733         160        4.16      0.7408
       2.398      0.6467      0.1809         250       4.433       1.847
       2.929      0.4762      0.1848         850       2.994       1.274
       5.301      -1.899     0.09436       2e+05     0.01262    0.002742
