#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.424     0.04343        2.15     0.03767    0.003767
      0.5563      -1.267     0.04343         3.6     0.05409    0.005409
      0.6532      -1.393     0.04343         4.5     0.04048    0.004048
      0.7634      -1.446     0.04343         5.8     0.03583    0.003583
      0.8976      -1.485     0.04343         7.9     0.03275    0.003275
       1.204     -0.6031     0.04343          16      0.2494     0.02494
        1.38      -0.493     0.04343          24      0.3214     0.03214
           2      0.4045     0.07061         100       2.538      0.4127
       2.204      0.8659     0.04343         160       7.344      0.7344
       2.398      0.9615     0.07309         250       9.153        1.54
       2.544      0.9763      0.1516         350       9.469       3.305
       5.301      -1.548     0.04757       2e+05      0.0283      0.0031
