#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.936     0.04343        2.15      0.1159     0.01159
      0.5563      -1.276     0.04343         3.6     0.05296    0.005296
      0.6532      -1.306     0.04343         4.5     0.04946    0.004946
      0.7634      -1.474     0.04343         5.8     0.03358    0.003358
      0.8976     -0.9914     0.04343         7.9       0.102      0.0102
       1.204     -0.6517     0.04343          16       0.223      0.0223
        1.38     -0.5147     0.04343          24      0.3057     0.03057
           2      0.7377     0.04343         100       5.466      0.5466
       2.204       1.053     0.04343         160        11.3        1.13
       2.398      0.6024      0.1968         250       4.003       1.814
       5.301      -1.786     0.07758       2e+05     0.01638    0.002926
