#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.748     0.04343        2.15      0.1786     0.01786
      0.5563      -1.028     0.04343         3.6     0.09366    0.009366
      0.6532      -1.091     0.04343         4.5     0.08108    0.008108
      0.7634      -1.136     0.04343         5.8     0.07305    0.007305
      0.8976     -0.3211     0.04343         7.9      0.4774     0.04774
       1.204     -0.2397     0.04343          16      0.5759     0.05759
        1.38     -0.1192     0.04343          24        0.76       0.076
           2       1.256     0.04343         100       18.03       1.803
       2.204       1.209     0.04343         160       16.17       1.617
       2.398      0.8511     0.08045         250       7.098       1.315
       5.301      -1.152     0.04343       2e+05      0.0704     0.00704
