#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.208     0.04343        2.15    0.006194   0.0006194
      0.5563      -1.658     0.04343         3.6     0.02198    0.002198
      0.6532      -1.612     0.04343         4.5     0.02441    0.002441
      0.7634      -1.709     0.04343         5.8     0.01955    0.001955
      0.8976      -1.644     0.04343         7.9     0.02271    0.002271
       1.204     -0.7071     0.04343          16      0.1963     0.01963
        1.38     -0.9274     0.04343          24      0.1182     0.01182
           2      0.5714     0.04382         100       3.727      0.3761
       2.204       0.896     0.04698         160       7.871      0.8515
       2.398       1.075     0.04572         250       11.88        1.25
       2.544      0.9856     0.07689         350       9.673       1.713
       2.699      0.7636      0.1636         500       5.803       2.185
       5.301      -1.664     0.07005       2e+05      0.0217      0.0035
