#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -0.38     0.04343        2.15      0.4169     0.04169
      0.5563     -0.5845     0.04343         3.6      0.2603     0.02603
      0.6532     -0.6747     0.04343         4.5      0.2115     0.02115
      0.7634     -0.7167     0.04343         5.8       0.192      0.0192
      0.8976     -0.4626     0.04343         7.9      0.3447     0.03447
       1.204    -0.07988     0.04343          16       0.832      0.0832
        1.38     0.09272     0.04343          24       1.238      0.1238
           2       1.624     0.04343         100       42.05       4.205
       2.204       1.802     0.04343         160       63.45       6.345
       2.398       1.719     0.04343         250       52.34       5.234
       2.544       1.487     0.04343         350       30.69       3.069
       2.699      0.8495      0.1558         500       7.071       2.538
       3.064      0.1165      0.1823        1160       1.308      0.5488
       5.301     -0.6556     0.04343       2e+05       0.221      0.0221
