#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.7634      -2.733      -2.733         5.8     0.00083     0.00051
       1.204      -1.414      -1.414          16     0.01921    0.009684
           2   0.0001472   0.0001472         100      0.2085      0.3959
       2.204      0.3094      0.3094         160   1.745e-05        1.02
       2.398        10.3        10.3         250         -99       1e+10
       2.544      0.9754      0.9754         350       1.058       4.195
       2.699        1.11        1.11         500       4.933       3.981
       2.929        10.3        10.3         850   5.194e-42       1e+10
       3.064      0.3677      0.3677        1160      0.4427      0.9445
