#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -3.012      -3.012         5.8    0.000113     0.00043
      0.8976       -1000       -1000         7.9   -0.001097    0.000497
       1.204      -1.841      -1.841          16    0.001811    0.006298
        1.38      -2.229      -2.229          24   8.071e-11    0.002952
           2    -0.03697    -0.03697         100      0.2565      0.3309
       2.204      0.2659      0.2659         160   1.745e-05      0.9223
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
