#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.8976      -2.512      -2.512         7.9    0.000661    0.001209
       1.204       7.301       7.301          16         -99       1e+07
           2      0.3679      0.3679         100      0.9635      0.6847
       2.204      0.6233      0.6233         160   1.745e-05         2.1
       2.398      0.5925      0.5925         250   3.209e-07       1.956
       2.544      0.9547      0.9547         350   2.905e-07       4.505
       2.699       1.014       1.014         500      0.3252           5
       2.929        10.3        10.3         850   5.194e-42       1e+10
       3.064      0.4162      0.4162        1160    2.13e-10       1.304
       5.301      -2.056      -2.056       2e+05    0.002416    0.003187
