#      _xxWS        ftot       firac        fagn        fsfr
#
     -0.7096      0.3558     0.04715   7.033e-12      0.3087
     -0.6996      0.2939     0.04931   7.033e-12      0.2446
     -0.6896      0.2331     0.05254   7.033e-12      0.1805
     -0.6796      0.1725      0.0561   7.033e-12      0.1165
     -0.6696      0.1127     0.06029   7.033e-12      0.0524
     -0.6596     0.06483     0.06483   7.033e-12   3.557e-08
     -0.6496     0.06734     0.06734   7.033e-12   3.624e-08
     -0.6396     0.06991     0.06991   7.033e-12   3.691e-08
     -0.6296     0.06949     0.06949   7.033e-12    3.76e-08
     -0.6196     0.07034     0.07034   7.033e-12   3.829e-08
     -0.6096     0.07048     0.07048   7.033e-12   3.901e-08
     -0.5996     0.07089     0.07089   7.033e-12   3.973e-08
     -0.5896     0.06999     0.06999   7.033e-12   4.047e-08
     -0.5796     0.07158     0.07158   7.033e-12   4.122e-08
     -0.5696     0.07274     0.07274   7.033e-12   4.199e-08
     -0.5596     0.07325     0.07325   7.033e-12   4.277e-08
     -0.5496     0.07348     0.07348   7.033e-12   4.356e-08
     -0.5396     0.07301     0.07301   7.033e-12   4.437e-08
     -0.5296     0.07211     0.07211   7.033e-12    4.52e-08
     -0.5196     0.07122     0.07122   7.033e-12   4.604e-08
     -0.5096     0.07048     0.07048   7.033e-12    4.69e-08
     -0.4996     0.07044     0.07044   7.033e-12   4.777e-08
     -0.4896     0.06978     0.06978   7.033e-12   4.866e-08
     -0.4796     0.06951     0.06951   7.033e-12   4.956e-08
     -0.4696     0.06993     0.06993   7.033e-12   5.048e-08
     -0.4596     0.07122     0.07122   7.033e-12   5.142e-08
     -0.4496     0.07132     0.07132   7.033e-12   5.238e-08
     -0.4396     0.07163     0.07163   7.033e-12   5.335e-08
     -0.4296     0.07152     0.07152   7.033e-12   5.434e-08
     -0.4196     0.07121     0.07121   7.033e-12   5.535e-08
     -0.4096     0.07056     0.07056   7.033e-12   5.638e-08
     -0.3996     0.06999     0.06999   7.033e-12   5.743e-08
     -0.3896     0.06952     0.06952   7.033e-12    5.85e-08
     -0.3796       0.069       0.069   7.033e-12   5.958e-08
     -0.3696     0.06856     0.06856   7.033e-12   6.069e-08
     -0.3596     0.06824     0.06824   7.033e-12   6.182e-08
     -0.3496     0.06784     0.06784   7.033e-12   6.297e-08
     -0.3396     0.06707     0.06707   7.033e-12   6.414e-08
     -0.3296     0.06652     0.06652   7.033e-12   6.533e-08
     -0.3196      0.0661      0.0661   7.033e-12   6.655e-08
     -0.3096     0.06562     0.06562   7.033e-12   6.778e-08
     -0.2996     0.06519     0.06519   7.033e-12   6.904e-08
     -0.2896     0.06492     0.06492   7.033e-12   7.033e-08
     -0.2796     0.06502     0.06502   7.033e-12   7.164e-08
     -0.2696     0.06499     0.06499   7.033e-12   7.297e-08
     -0.2596     0.06497     0.06497   7.033e-12   7.432e-08
     -0.2496     0.06513     0.06513   7.033e-12   7.571e-08
     -0.2396     0.06507     0.06507   7.033e-12   7.711e-08
     -0.2296     0.06507     0.06507   7.033e-12   7.855e-08
     -0.2196     0.06498     0.06498   7.033e-12   8.001e-08
     -0.2096     0.06523     0.06523   7.033e-12   8.149e-08
     -0.1996     0.06746     0.06746   7.033e-12   8.301e-08
     -0.1896     0.06851     0.06851   7.033e-12   8.455e-08
     -0.1796     0.07042     0.07042   7.033e-12   8.613e-08
     -0.1696     0.07403     0.07403   7.033e-12   8.773e-08
     -0.1596     0.07792     0.07792   7.033e-12   8.936e-08
     -0.1496     0.08168     0.08168   7.033e-12   9.102e-08
     -0.1396     0.08518     0.08518   7.033e-12   9.271e-08
     -0.1296     0.08922     0.08922   7.033e-12   9.443e-08
     -0.1196     0.09371     0.09371   7.033e-12   9.619e-08
     -0.1096     0.09808     0.09808   7.033e-12   9.798e-08
    -0.09965      0.1024      0.1024   7.033e-12    9.98e-08
    -0.08965      0.1067      0.1067   7.033e-12   1.017e-07
    -0.07965      0.1104      0.1104   7.033e-12   1.035e-07
    -0.06965       0.112       0.112   7.033e-12   1.055e-07
    -0.05965       0.115       0.115   7.033e-12   1.074e-07
    -0.04965      0.1172      0.1172   7.033e-12   1.094e-07
    -0.03965      0.1176      0.1176   7.033e-12   1.115e-07
    -0.02965      0.1178      0.1178   7.033e-12   1.135e-07
    -0.01965      0.1183      0.1183   7.033e-12   1.156e-07
   -0.009649      0.1188      0.1188   7.033e-12   1.178e-07
   0.0003507      0.1191      0.1191   7.033e-12     1.2e-07
     0.01035      0.1188      0.1188   7.033e-12   1.222e-07
     0.02035      0.1188      0.1188   7.033e-12   1.245e-07
     0.03035      0.1189      0.1189   7.033e-12   1.268e-07
     0.04035      0.1192      0.1192   7.033e-12   1.292e-07
     0.05035        0.12        0.12   7.033e-12   1.316e-07
     0.06035      0.1208      0.1208   7.033e-12    1.34e-07
     0.07035      0.1212      0.1212   7.033e-12   1.365e-07
     0.08035      0.1216      0.1216   7.033e-12    1.39e-07
     0.09035      0.1223      0.1223   7.033e-12   1.416e-07
      0.1004      0.1232      0.1232   7.033e-12   1.443e-07
      0.1104      0.1238      0.1238   7.033e-12   1.469e-07
      0.1204      0.1246      0.1246   7.033e-12   1.497e-07
      0.1304      0.1252      0.1252   7.033e-12   1.525e-07
      0.1404       0.126       0.126   7.033e-12   1.553e-07
      0.1504      0.1265      0.1265   7.033e-12   1.582e-07
      0.1604      0.1279      0.1279   7.033e-12   1.611e-07
      0.1704      0.1294      0.1294   7.033e-12   1.641e-07
      0.1804       0.131       0.131   7.033e-12   1.672e-07
      0.1904      0.1324      0.1324   7.033e-12   1.703e-07
      0.2004      0.1332      0.1332   7.033e-12   1.734e-07
      0.2104      0.1349      0.1349   7.033e-12   1.767e-07
      0.2204      0.1365      0.1365   7.033e-12   1.799e-07
      0.2304      0.1377      0.1377   7.033e-12   1.833e-07
      0.2404      0.1392      0.1392   7.033e-12   1.867e-07
      0.2504      0.1408      0.1408   7.033e-12   1.902e-07
      0.2604      0.1415      0.1415   7.033e-12   1.937e-07
      0.2704      0.1428      0.1428   7.033e-12   4.878e-05
      0.2804      0.1443      0.1442   7.033e-12   0.0001278
      0.2904      0.1446      0.1444   7.033e-12   0.0002007
      0.3004       0.145      0.1447   7.033e-12   0.0002716
      0.3104      0.1451      0.1447   7.033e-12   0.0003448
      0.3204      0.1453      0.1449   7.033e-12   0.0004205
      0.3304      0.1462      0.1457   7.033e-12   0.0004878
      0.3404      0.1464      0.1459   7.033e-12   0.0005393
      0.3504      0.1467      0.1461   7.033e-12   0.0005754
      0.3604      0.1471      0.1465   7.033e-12   0.0005942
      0.3704      0.1468      0.1462   7.033e-12   0.0005852
      0.3804      0.1467      0.1461   7.033e-12   0.0005847
      0.3904      0.1474      0.1468   7.033e-12   0.0006001
      0.4004      0.1477      0.1471   7.033e-12   0.0006214
      0.4104      0.1487       0.148   7.033e-12   0.0006444
      0.4204      0.1493      0.1486   7.033e-12   0.0006658
      0.4304        0.15      0.1493   7.033e-12   0.0006818
      0.4404       0.151      0.1503   7.033e-12   0.0006879
      0.4504      0.1524      0.1518   7.033e-12   0.0006843
      0.4604      0.1537       0.153   7.033e-12   0.0006817
      0.4704      0.1545      0.1538   7.033e-12   0.0006871
      0.4804      0.1544      0.1537   7.033e-12    0.000699
      0.4904      0.1541      0.1534   7.033e-12   0.0007135
      0.5004      0.1547       0.154   7.033e-12   0.0007292
      0.5104      0.1541      0.1534   7.033e-12   0.0007507
      0.5204      0.1536      0.1528   7.033e-12   0.0007796
      0.5304      0.1524      0.1516   7.033e-12   0.0008142
      0.5404      0.1508      0.1499   7.033e-12   0.0008533
      0.5504       0.149      0.1481   7.033e-12    0.000896
      0.5604      0.1464      0.1454   7.033e-12   0.0009418
      0.5704      0.1435      0.1425   7.033e-12   0.0009908
      0.5804       0.139       0.138   7.033e-12    0.001043
      0.5904       0.135      0.1339   7.033e-12    0.001098
      0.6004       0.131      0.1298   7.033e-12    0.001158
      0.6104      0.1262      0.1249   7.033e-12    0.001223
      0.6204      0.1208      0.1195   7.033e-12    0.001295
      0.6304      0.1155      0.1141   7.033e-12    0.001375
      0.6404      0.1117      0.1102   7.033e-12    0.001457
      0.6504      0.1075       0.106   7.033e-12    0.001538
      0.6604      0.1043      0.1027   7.033e-12    0.001622
      0.6704       0.101     0.09926   7.033e-12    0.001709
      0.6804      0.1063     0.09578    0.008763    0.001804
      0.6904      0.1028     0.09206    0.008856    0.001911
      0.7004     0.09913     0.08812     0.00897    0.002038
      0.7104     0.09639     0.08507    0.009114    0.002211
      0.7204     0.09352     0.08171    0.009297    0.002519
      0.7304     0.09136     0.07836    0.009525    0.003474
      0.7404     0.09951     0.07648    0.009807     0.01322
      0.7504     0.09978     0.07551     0.01015     0.01411
      0.7604     0.09926     0.07428     0.01056     0.01442
      0.7704     0.09791     0.07222     0.01106     0.01463
      0.7804     0.09657     0.07014     0.01163     0.01481
      0.7904     0.09454     0.06727      0.0123     0.01496
      0.8004     0.09239      0.0642     0.01307     0.01511
      0.8104     0.09071      0.0615     0.01395     0.01526
      0.8204     0.08992     0.05957     0.01495      0.0154
      0.8304     0.08961       0.058     0.01607     0.01554
      0.8404     0.08952     0.05655     0.01733     0.01564
      0.8504     0.08968     0.05533     0.01873     0.01562
      0.8604     0.08889     0.05365     0.02027     0.01497
      0.8704     0.07937     0.05183     0.02198    0.005559
      0.8804     0.07846     0.04959     0.02384    0.005026
      0.8904     0.07811     0.04711     0.02588    0.005113
      0.9004     0.07839     0.04496     0.02808    0.005347
      0.9104     0.07903     0.04291     0.03044    0.005681
      0.9204     0.08022     0.04113     0.03295    0.006132
      0.9304       0.082     0.03958     0.03559    0.006822
      0.9404     0.08468     0.03811     0.03835    0.008219
      0.9504     0.08718      0.0366     0.04121    0.009369
      0.9604     0.08975     0.03506     0.04412     0.01057
      0.9704     0.09327     0.03348     0.04706     0.01273
      0.9804     0.09734     0.03177     0.04999     0.01558
      0.9904      0.1017     0.03058     0.05287     0.01823
           1      0.1083     0.02951     0.05565     0.02312
        1.01      0.1275     0.02865     0.05838      0.0405
        1.02      0.1429     0.02776     0.06103     0.05413
        1.03      0.1509     0.02685     0.06363     0.06043
        1.04      0.1587     0.02595     0.06615     0.06665
        1.05       0.167      0.0251      0.0686      0.0733
        1.06      0.1751     0.02425       0.071     0.07984
        1.07      0.1841     0.02341     0.07339     0.08725
        1.08       0.197     0.02262     0.07573     0.09862
        1.09      0.2174     0.02179     0.07808      0.1175
         1.1      0.2515     0.02096     0.08045      0.1501
        1.11      0.2855     0.02018     0.08288      0.1824
        1.12      0.3134     0.01938     0.08535      0.2087
        1.13      0.3277     0.01861     0.08795      0.2211
        1.14      0.3265     0.01786      0.0906       0.218
        1.15       0.332     0.01717     0.09338      0.2215
        1.16      0.3436     0.01652     0.09627      0.2308
        1.17      0.3486     0.01595     0.09933      0.2333
        1.18      0.3513     0.01537      0.1026      0.2333
        1.19      0.3535     0.01485       0.106      0.2326
         1.2      0.3541     0.01436      0.1098        0.23
        1.21      0.3516     0.01387       0.114      0.2237
        1.22      0.3419      0.0134      0.1186        0.21
        1.23      0.3186     0.01293      0.1235      0.1821
        1.24      0.2958     0.01244      0.1289      0.1544
        1.25      0.2813     0.01195      0.1347      0.1347
        1.26       0.283     0.01146      0.1405       0.131
        1.27      0.3197     0.01097      0.1465      0.1622
        1.28      0.3358     0.01048      0.1524      0.1729
        1.29      0.3447    0.009984      0.1584      0.1763
         1.3      0.3637     0.00946      0.1644      0.1898
        1.31      0.3833    0.008956      0.1704      0.2039
        1.32      0.4116     0.00844      0.1763      0.2269
        1.33      0.4318    0.007924      0.1823      0.2416
        1.34       0.448    0.007411      0.1884      0.2522
        1.35      0.4656    0.006913      0.1946      0.2641
        1.36      0.4799    0.006449       0.201      0.2725
        1.37      0.4941    0.006019      0.2076      0.2804
        1.38      0.5058     0.00562      0.2146      0.2856
        1.39      0.5138    0.005252      0.2223      0.2862
         1.4      0.4913    0.004912      0.2307      0.2556
        1.41      0.4879      0.0046      0.2396      0.2437
        1.42      0.4956    0.004313      0.2493       0.242
        1.43       0.503    0.004051      0.2599      0.2391
        1.44       0.517    0.003811      0.2712      0.2421
        1.45      0.5251    0.003593       0.283      0.2385
        1.46      0.5433    0.003394      0.2954      0.2444
        1.47       0.563    0.003214      0.3079      0.2519
        1.48      0.5803    0.003051      0.3204      0.2568
        1.49       0.601    0.002904      0.3328      0.2652
         1.5      0.6224     0.00277      0.3452      0.2745
        1.51      0.6443    0.002649       0.357      0.2846
        1.52       0.666    0.002539      0.3682      0.2953
        1.53      0.6869    0.002438      0.3785      0.3059
        1.54      0.7071    0.002346      0.3883      0.3165
        1.55      0.7258     0.00226      0.3971      0.3264
        1.56      0.7419     0.00218      0.4047       0.335
        1.57      0.7539    0.002105      0.4113      0.3405
        1.58      0.7644    0.002034      0.4168      0.3456
        1.59      0.7743    0.001965      0.4212      0.3511
         1.6      0.7875    0.001899      0.4247       0.361
        1.61      0.8029    0.001835      0.4274      0.3738
        1.62      0.8194    0.001773      0.4293      0.3883
        1.63      0.8364    0.001711      0.4305      0.4041
        1.64      0.8559     0.00165      0.4312       0.423
        1.65      0.8777     0.00159      0.4317      0.4444
        1.66      0.9021    0.001531      0.4319      0.4686
        1.67      0.9293    0.001473       0.432      0.4958
        1.68      0.9598    0.001416      0.4321      0.5262
        1.69      0.9937    0.001359      0.4323      0.5601
         1.7       1.031    0.001304      0.4325      0.5976
        1.71       1.073     0.00125      0.4328       0.639
        1.72       1.119    0.001196      0.4332      0.6842
        1.73       1.168    0.001144      0.4337      0.7332
        1.74       1.221    0.001094      0.4342       0.786
        1.75       1.278    0.001044      0.4346      0.8424
        1.76       1.338   0.0009956      0.4348      0.9023
        1.77       1.401   0.0009486      0.4349      0.9655
        1.78       1.467    0.000903      0.4347       1.032
        1.79       1.536   0.0008589      0.4342       1.101
         1.8       1.607   0.0008162      0.4332       1.173
        1.81       1.681   0.0007751      0.4317       1.248
        1.82       1.756   0.0007356      0.4298       1.326
        1.83       1.834   0.0006976      0.4273       1.406
        1.84       1.914   0.0006614      0.4243       1.489
        1.85       1.997   0.0006268      0.4208       1.576
        1.86       2.083    0.000594      0.4168       1.666
        1.87       2.173   0.0005629      0.4123        1.76
        1.88       2.267   0.0005334      0.4072       1.859
        1.89       2.365   0.0005057      0.4017       1.963
         1.9       2.468   0.0004797      0.3957       2.072
