#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.532     0.04343        2.15    0.002938   0.0002938
      0.5563      -2.267     0.04343         3.6    0.005406   0.0005406
      0.6532      -2.189     0.04343         4.5    0.006478   0.0006478
      0.7634      -2.054     0.04343         5.8    0.008822   0.0008822
      0.8976      -2.145     0.04343         7.9    0.007156   0.0007156
        1.38      -1.009     0.04355          24     0.09804    0.009831
           2     0.04175      0.1382         100       1.101      0.3504
       2.204      0.2891      0.2088         160       1.946      0.9356
       5.301      -2.206      0.1975       2e+05    0.006216    0.002827
