#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.6532       5.301       5.301         4.5         -99       1e+05
      0.7634      -2.667      -2.667         5.8    0.000535     0.00081
      0.8976      -2.337      -2.337         7.9    0.001333    0.001634
       1.204       7.301       7.301          16         -99       1e+07
           2       5.633       5.633         100   1.687e-05   2.146e+05
       2.204      0.6934      0.6934         160   1.642e-05       2.468
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.218      -2.218       2e+05   0.0004184    0.002818
