#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
       1.204      -1.778      -1.778          16   1.903e-10    0.008331
        1.38      -1.753      -1.753          24     0.00874     0.00446
           2     -0.1508     -0.1508         100   1.792e-05      0.3533
       2.204      0.3135      0.3135         160      0.5342      0.7619
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.5566      0.5566         850   2.068e-10       1.801
       3.064    -0.04799    -0.04799        1160    2.13e-10      0.4477
       5.301      -2.093      -2.093       2e+05    0.003021    0.002524
