#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.8976      -2.627      -2.627         7.9    0.001051    0.000655
       1.204      -1.753      -1.753          16   1.903e-10    0.008821
        1.38      -2.058      -2.058          24   8.071e-11    0.004373
           2     0.03602     0.03602         100      0.3125       0.387
       2.204      0.5435      0.5435         160       1.604      0.9457
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
