#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.6532       5.301       5.301         4.5         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
      0.8976       5.301       5.301         7.9         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
        1.38       7.301       7.301          24         -99       1e+07
           2        5.97        5.97         100       3.447   4.661e+05
       2.204       1.584       1.584         160       7.069       15.66
       2.929        10.3        10.3         850   5.194e-42       1e+10
       3.064      0.5412      0.5412        1160       1.277         1.1
