#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.876      -2.876         5.8    0.000589     0.00037
      0.8976       -3.13       -3.13         7.9   -0.000148    0.000445
       1.204       -1.98       -1.98          16   1.903e-10    0.005234
        1.38      -1.934      -1.934          24   0.0006934    0.005468
           2    -0.02174    -0.02174         100   1.792e-05      0.4756
       2.204      0.3652      0.3652         160   1.745e-05       1.159
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
