#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.164     0.04343        2.15     0.06855    0.006855
      0.5563      -1.331     0.04343         3.6     0.04667    0.004667
      0.6532      -1.378     0.04343         4.5     0.04185    0.004185
      0.7634      -1.496     0.04343         5.8     0.03192    0.003192
      0.8976      -1.133     0.04343         7.9     0.07359    0.007359
       1.204     -0.7183     0.04343          16      0.1913     0.01913
        1.38     -0.6515     0.04343          24      0.2231     0.02231
           2      0.7898     0.04343         100       6.163      0.6163
       2.204      0.9741     0.04343         160        9.42       0.942
       2.398      0.9256     0.08547         250       8.426       1.658
       5.301      -1.684     0.05455       2e+05      0.0207      0.0026
