#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.8976      -2.336      -2.336         7.9    0.002264    0.001175
       1.204       7.301       7.301          16         -99       1e+07
           2     -0.0482     -0.0482         100   1.792e-05      0.4475
       2.204      0.2034      0.2034         160   1.745e-05      0.7986
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.058      -2.058       2e+05    0.003129    0.002808
