#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.515      -2.515         5.8    0.001296    0.000881
       1.204      -1.735      -1.735          16   1.903e-10    0.009212
           2       10.38       10.38         100      -117.8    1.19e+10
       2.204       10.38       10.38         160      -117.8    1.19e+10
       2.398        10.3        10.3         250         -99       1e+10
       2.544       1.235       1.235         350       6.447       5.358
       2.699       1.221       1.221         500       5.918       5.364
       2.929      0.3955      0.3955         850   2.068e-10       1.243
       3.064      0.3925      0.3925        1160       1.111       0.679
