#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.7634      -3.112      -3.112         5.8    -6.6e-05    0.000419
       1.204      -1.851      -1.851          16   1.903e-10    0.007046
        1.38      -1.855      -1.855          24    0.002147    0.005916
           2     -0.0206     -0.0206         100   1.792e-05      0.4768
       2.204      0.3557      0.3557         160   1.745e-05       1.134
       2.398       1.152       1.152         250       5.642       4.277
       2.544       0.586       0.586         350    -0.04246       1.949
       2.699       1.033       1.033         500       3.071       3.863
       2.929        10.3        10.3         850         -99       1e+10
       3.064       0.405       0.405        1160       1.235      0.6529
       5.301       -1000       -1000       2e+05    0.008397      -1e+10
