#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.168     0.04343        2.15     0.06792    0.006792
      0.5563      -1.202     0.04343         3.6      0.0628     0.00628
      0.6532      -1.339     0.04343         4.5     0.04582    0.004582
      0.7634      -1.208     0.04343         5.8     0.06195    0.006195
      0.8976      -1.247     0.04343         7.9     0.05661    0.005661
        1.38     -0.2692     0.04343          24       0.538      0.0538
           2       1.124     0.04343         100       13.32       1.332
       2.204       1.273     0.04343         160       18.76       1.876
       2.398       1.148     0.04468         250       14.06       1.447
       2.544      0.8289      0.2047         350       6.744       3.179
       5.301      -1.237     0.04343       2e+05      0.0579     0.00579
