#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.699      -2.699         5.8     0.00076    0.000621
       1.204       7.301       7.301          16         -99       1e+07
        1.38       -1.46       -1.46          24      0.0161    0.009305
           2        5.46        5.46         100   1.792e-05   1.443e+05
       2.398       1.117       1.117         250   3.209e-07       6.539
       2.544       1.295       1.295         350       5.895       6.905
       2.699       1.333       1.333         500       8.321       6.616
       2.929      0.7275      0.7275         850      0.0347       2.653
       3.064     0.07945     0.07945        1160    2.13e-10      0.6004
       5.301      -2.227      -2.227       2e+05   0.0004414    0.002743
