#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.092     0.04343        2.15     0.08091    0.008091
      0.5563     -0.9446     0.04343         3.6      0.1136     0.01136
      0.6532      -1.014     0.04343         4.5     0.09675    0.009675
      0.7634     -0.9519     0.04343         5.8      0.1117     0.01117
      0.8976       -0.87     0.04343         7.9      0.1349     0.01349
       1.204     -0.2316     0.04343          16      0.5867     0.05867
        1.38    -0.08349     0.04343          24      0.8251     0.08251
           2       1.059     0.04343         100       11.46       1.146
       2.204       1.345     0.04343         160       22.14       2.214
       2.398       1.334     0.04343         250       21.57       2.157
       2.544         1.1     0.06196         350        12.6       1.798
       2.699      0.8118      0.1645         500       6.484       2.456
