#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.96     0.04343        2.15     0.01096    0.001096
      0.5563      -2.082     0.04343         3.6    0.008281   0.0008281
      0.6532        -2.2     0.04343         4.5    0.006313   0.0006313
      0.7634      -2.291     0.04343         5.8    0.005114   0.0005114
      0.8976      -2.227     0.04343         7.9    0.005936   0.0005936
       1.204      -1.697      0.1978          16     0.02007     0.00914
        1.38      -1.422      0.0733          24     0.03785    0.006388
           2    0.009508       0.157         100       1.022      0.3695
       2.204      0.4909      0.1452         160       3.097       1.035
       2.398      0.6878      0.1809         250       4.873       2.029
