#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.464     0.04343        2.15     0.03436    0.003436
      0.5563      -1.387     0.04343         3.6     0.04104    0.004104
      0.6532      -1.514     0.04343         4.5      0.0306     0.00306
      0.7634      -1.579     0.04343         5.8     0.02638    0.002638
      0.8976      -1.659     0.04343         7.9     0.02195    0.002195
       1.204      -0.667     0.04343          16      0.2153     0.02153
        1.38     -0.5683     0.04343          24      0.2702     0.02702
           2      0.5326     0.04433         100       3.409       0.348
       2.204      0.7978     0.06528         160       6.277      0.9435
       2.398      0.8966     0.05948         250       7.882       1.079
       2.544      0.7442       0.163         350       5.548       2.082
       5.301      -1.735     0.06845       2e+05      0.0184      0.0029
