#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.6532       5.301       5.301         4.5         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
      0.8976       5.301       5.301         7.9         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
       2.398       1.141       1.141         250        3.91       4.966
       2.544        1.35        1.35         350       5.834       8.264
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.7196      0.7196         850       2.288       1.478
       3.064      0.4977      0.4977        1160       1.049       1.049
       5.301      -2.017      -2.017       2e+05    0.004267    0.002675
