#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.872     0.04343        2.15      0.1343     0.01343
      0.5563      -1.227     0.04343         3.6     0.05929    0.005929
      0.6532      -1.228     0.04343         4.5     0.05919    0.005919
      0.7634      -1.367     0.04343         5.8     0.04293    0.004293
      0.8976     -0.8339     0.04343         7.9      0.1466     0.01466
        1.38     -0.5519     0.04343          24      0.2806     0.02806
           2      0.8446     0.04343         100       6.992      0.6992
       2.204       1.128     0.04343         160       13.43       1.343
       2.398        1.11     0.04343         250       12.87       1.287
       2.544      0.8655      0.1611         350       7.337       2.722
       5.301      -1.769     0.07612       2e+05     0.01703    0.002985
