#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.12     0.04343        2.15     0.07586    0.007586
      0.6532      -1.345     0.04343         4.5      0.0452     0.00452
      0.8976     -0.9905     0.04343         7.9      0.1022     0.01022
        1.38     -0.9237     0.08853          24      0.1192      0.0243
           2      0.9006     0.04925         100       7.954       0.902
       2.204       1.089      0.1146         160       12.29       3.241
       2.398       1.282     0.08846         250       19.13       3.897
       2.544       1.417     0.05763         350       26.13       3.468
       2.699       1.465     0.04343         500       29.17       2.917
       5.301      -1.455     0.08537       2e+05      0.0351      0.0069
