#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324        -1.2     0.04343        2.15      0.0631     0.00631
      0.5563      -1.569     0.04343         3.6       0.027      0.0027
      0.6532      -1.735     0.04343         4.5     0.01842    0.001842
      0.7634      -1.841     0.04343         5.8     0.01443    0.001443
      0.8976      -1.396     0.04343         7.9     0.04021    0.004021
       1.204      -1.416     0.09594          16     0.03841    0.008485
        1.38      -1.292     0.04343          24     0.05105    0.005105
           2      0.2397     0.08338         100       1.737      0.3334
       2.204      0.5508     0.09094         160       3.555      0.7444
       5.301      -2.206      0.1891       2e+05    0.006224     0.00271
