#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.795      -2.795         5.8     0.00041    0.000597
      0.8976      -2.679      -2.679         7.9    0.000571    0.000761
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.639      -1.639          24     0.01137    0.005794
           2    -0.08706    -0.08706         100   1.792e-05      0.4092
       2.204      0.2756      0.2756         160   1.745e-05      0.9432
       2.398      0.7157      0.7157         250      0.4184       2.389
       2.544       1.029       1.029         350   2.905e-07       5.343
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.7193      0.7193         850       2.257       1.491
       3.064       0.292       0.292        1160      0.2507       0.854
