#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -2.08     0.04343        2.15    0.008318   0.0008318
      0.5563      -2.121     0.04343         3.6    0.007574   0.0007574
      0.6532      -2.109     0.04343         4.5    0.007779   0.0007779
      0.7634       -2.12     0.04343         5.8    0.007586   0.0007586
      0.8976      -1.843     0.04343         7.9     0.01435    0.001435
       1.204       -1.41      0.1258          16     0.03892     0.01127
        1.38     -0.8665     0.04343          24       0.136      0.0136
           2      0.4622     0.06971         100       2.899      0.4653
       2.204      0.3637      0.1965         160        2.31       1.046
       5.301      -2.102      0.1464       2e+05    0.007909    0.002667
