#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.772     0.04343        2.15       0.169      0.0169
      0.5563     -0.8633     0.04343         3.6       0.137      0.0137
      0.6532     -0.8811     0.04343         4.5      0.1315     0.01315
      0.7634     -0.8456     0.04343         5.8      0.1427     0.01427
      0.8976     -0.7637     0.04343         7.9      0.1723     0.01723
       1.204     -0.4633     0.04343          16      0.3441     0.03441
        1.38     -0.3255     0.04343          24      0.4726     0.04726
           2      0.6964     0.04343         100        4.97       0.497
       2.204        0.85     0.05554         160        7.08      0.9054
       2.398      0.9029     0.05267         250       7.996      0.9697
       2.544      0.4977      0.1621         350       3.146       1.175
       5.301      -1.452     0.08243       2e+05      0.0353      0.0067
