#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -2.72     0.04343        2.15    0.001905   0.0001905
      0.5563      -2.295     0.04343         3.6    0.005073   0.0005073
      0.6532       -2.13     0.04343         4.5    0.007406   0.0007406
      0.7634      -1.984     0.04343         5.8     0.01037    0.001037
      0.8976      -1.899     0.04343         7.9     0.01262    0.001262
       1.204      -1.561      0.1128          16     0.02748    0.007139
        1.38      -1.192     0.04343          24     0.06427    0.006427
           2   -0.007692      0.1478         100      0.9824      0.3343
       2.204      0.5362      0.1013         160       3.437      0.8021
       2.398      0.6258      0.1038         250       4.224       1.009
       2.544      0.5627      0.1905         350       3.654       1.603
       3.064      0.2268      0.1581        1160       1.686      0.6135
       5.301      -1.635      0.0468       2e+05      0.0232      0.0025
