#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.532     0.04343        2.15     0.02938    0.002938
      0.5563      -1.334     0.04343         3.6     0.04633    0.004633
      0.6532      -1.277     0.04343         4.5      0.0529     0.00529
      0.7634      -1.194     0.04343         5.8      0.0639     0.00639
      0.8976       -1.36     0.04343         7.9     0.04365    0.004365
       1.204      -1.384      0.1011          16      0.0413    0.009617
        1.38     -0.7416     0.04343          24      0.1813     0.01813
           2      0.3375     0.06914         100       2.175      0.3463
       2.204      0.8658      0.1055         160       7.342       1.783
       2.398      0.9467     0.09696         250       8.845       1.975
       2.544       1.019      0.1735         350       10.44        4.17
       2.699       1.166     0.05626         500       14.65       1.897
       3.064      0.3563      0.1184        1160       2.272      0.6193
