#      _xxWS        ftot       firac        fagn        fsfr
#
     -0.7855     0.03841   2.941e-07           0     0.03841
     -0.7755     0.03042   3.837e-07           0     0.03042
     -0.7655     0.02243   5.076e-07           0     0.02243
     -0.7555     0.01445   6.694e-07           0     0.01445
     -0.7455    0.006462   8.844e-07           0    0.006461
     -0.7355   1.167e-06   1.164e-06           0   2.782e-09
     -0.7255   1.475e-06   1.472e-06           0   2.833e-09
     -0.7155   1.856e-06   1.853e-06           0   2.886e-09
     -0.7055   2.227e-06   2.224e-06           0    2.94e-09
     -0.6955   2.709e-06   2.706e-06           0   2.994e-09
     -0.6855   3.249e-06   3.246e-06           0    3.05e-09
     -0.6755   3.896e-06   3.892e-06           0   3.107e-09
     -0.6655   4.566e-06   4.563e-06           0   3.164e-09
     -0.6555   5.523e-06    5.52e-06           0   3.223e-09
     -0.6455   6.612e-06   6.609e-06           0   3.283e-09
     -0.6355   7.816e-06   7.812e-06           0   3.344e-09
     -0.6255   9.169e-06   9.165e-06           0   3.406e-09
     -0.6155   1.062e-05   1.061e-05           0    3.47e-09
     -0.6055   1.218e-05   1.217e-05           0   3.534e-09
     -0.5955   1.392e-05   1.392e-05           0     3.6e-09
     -0.5855   1.589e-05   1.589e-05           0   3.667e-09
     -0.5755   1.826e-05   1.826e-05           0   3.735e-09
     -0.5655   2.073e-05   2.073e-05           0   3.804e-09
     -0.5555    2.36e-05   2.359e-05           0   3.875e-09
     -0.5455   2.704e-05   2.704e-05           0   3.947e-09
     -0.5355   3.128e-05   3.128e-05           0   4.021e-09
     -0.5255   3.548e-05   3.547e-05           0   4.095e-09
     -0.5155   4.024e-05   4.024e-05           0   4.171e-09
     -0.5055   4.524e-05   4.524e-05           0   4.249e-09
     -0.4955   5.059e-05   5.059e-05           0   4.328e-09
     -0.4855   5.616e-05   5.616e-05           0   4.408e-09
     -0.4755   6.224e-05   6.224e-05           0    4.49e-09
     -0.4655    6.89e-05   6.889e-05           0   4.574e-09
     -0.4555   7.601e-05   7.601e-05           0   4.659e-09
     -0.4455   8.377e-05   8.377e-05           0   4.746e-09
     -0.4355   9.225e-05   9.225e-05           0   4.834e-09
     -0.4255   0.0001012   0.0001012           0   4.924e-09
     -0.4155   0.0001102   0.0001102           0   5.015e-09
     -0.4055   0.0001202   0.0001202           0   5.108e-09
     -0.3955   0.0001309   0.0001309           0   5.203e-09
     -0.3855   0.0001423   0.0001422           0     5.3e-09
     -0.3755   0.0001543   0.0001543           0   5.399e-09
     -0.3655   0.0001675   0.0001675           0   5.499e-09
     -0.3555   0.0001825   0.0001825           0   5.601e-09
     -0.3455    0.000198    0.000198           0   5.705e-09
