#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.924     0.04343        2.15      0.1191     0.01191
      0.5563      -1.098     0.04343         3.6     0.07989    0.007989
      0.6532      -1.193     0.04343         4.5     0.06413    0.006413
      0.7634      -1.275     0.04343         5.8     0.05313    0.005313
      0.8976      -1.152     0.04343         7.9      0.0705     0.00705
       1.204     -0.8066     0.04343          16      0.1561     0.01561
        1.38     -0.7082     0.04343          24      0.1958     0.01958
           2      0.6155     0.04343         100       4.126      0.4126
       2.204      0.9123     0.04343         160       8.172      0.8172
       2.398       1.031     0.04343         250       10.74       1.074
       2.544      0.8326      0.1215         350       6.802       1.903
       5.301      -1.978      0.1044       2e+05     0.01051    0.002527
